employee_id,name_mask,gender,birth_year,hire_date,leave_date,leave_type,leave_reason_code,current_dept_id,current_level_code,is_key_talent,probation_end,status_end
E00001,华静*,女,1989,2020-09-23,,,,D01,L1,0,2020-12-22,active
E00002,秦伟慧,女,1990,2024-12-08,2025-01-27,invol,R06,D06,L4,1,2025-03-08,left
E00003,魏明云,男,1998,2024-05-21,2025-02-11,vol,R02,D01,L2,0,2024-08-19,left
E00004,尤勇杰,女,1986,2020-10-19,,,,D03,L4,0,2021-01-17,active
E00005,杨慧*,男,1995,2024-05-06,,,,D01,L3,0,2024-08-04,active
E00006,孙春*,女,1975,2020-03-31,,,,D01,L5,0,2020-06-29,active
E00007,喻红爱,女,1997,2019-12-17,,,,D11,L2,0,2020-03-16,active
E00008,褚爱莲,男,1985,2024-01-14,,,,D03,L1,0,2024-04-13,active
E00009,吕涛*,女,1981,2021-09-05,,,,D01,L4,1,2021-12-04,active
E00010,许佳华,女,1988,2019-11-30,,,,D02,L4,1,2020-02-28,active
E00011,许芝*,女,1992,2017-06-25,,,,D11,L1,0,2017-12-22,active
E00012,陶巧*,女,1998,2024-09-15,,,,D11,L6,0,2024-12-14,active
E00013,杨翠*,女,1998,2021-08-14,,,,D01,L2,0,2021-11-12,active
E00014,吕洋*,男,1985,2021-03-14,,,,D01,L3,0,2021-09-10,active
E00015,施爱*,女,1990,2021-08-03,,,,D11,L2,1,2021-11-01,active
E00016,杨静*,男,1983,2020-07-17,2025-08-29,vol,R04,D03,L2,0,2021-01-13,left
E00017,邹芳芝,女,1983,2023-08-26,,,,D01,L5,0,2023-11-24,active
E00018,魏芬*,男,1987,2022-10-11,,,,D12,L1,0,2023-04-09,active
E00019,李强佳,男,1995,2021-06-13,,,,D11,L3,0,2021-09-11,active
E00020,杨环*,男,1978,2024-10-25,,,,D11,L1,0,2025-01-23,active
E00021,何芝*,男,1995,2021-02-03,,,,D01,L2,0,2021-05-04,active
E00022,邹珠*,男,1998,2022-04-29,2025-03-12,vol,R03,D01,L3,0,2022-07-28,left
E00023,谢芳燕,男,1987,2024-10-18,,,,D01,L4,1,2025-04-16,active
E00024,沈凤*,男,1978,2018-04-26,,,,D05,L1,0,2018-07-25,active
E00025,朱慧爱,男,1996,2022-01-25,,,,D04,L1,0,2022-04-25,active
E00026,冯丽*,女,1984,2017-08-10,,,,D06,L5,0,2017-11-08,active
E00027,陈芝美,女,1990,2018-02-06,,,,D11,L3,1,2018-08-05,active
E00028,杨娥*,女,1993,2019-10-07,2025-12-16,vol,R02,D06,L2,0,2020-01-05,left
E00029,钱静*,男,1991,2024-11-17,,,,D01,L2,1,2025-02-15,active
E00030,钱涛红,女,1995,2019-05-25,,,,D01,L2,0,2019-08-23,active
E00031,蒋萍*,女,1998,2023-09-30,,,,D03,L2,0,2023-12-29,active
E00032,何明燕,男,1980,2019-01-27,2025-07-25,vol,R05,D03,L1,0,2019-04-27,left
E00033,许环*,女,1989,2023-04-25,,,,D01,L2,0,2023-07-24,active
E00034,戚媛巧,女,1983,2022-07-03,,,,D05,L2,0,2022-10-01,active
E00035,钱丽*,男,1985,2020-06-12,2025-10-26,vol,R02,D08,L3,0,2020-09-10,left
E00036,曹玉*,女,2002,2024-10-06,,,,D06,L3,0,2025-01-04,active
E00037,王月*,女,1985,2018-07-09,,,,D03,L4,0,2018-10-07,active
E00038,喻香媛,女,1982,2023-05-13,2025-01-24,vol,R04,D03,L4,0,2023-11-09,left
E00039,邹勇*,男,1992,2023-08-20,,,,D01,L4,0,2023-11-18,active
E00040,孔娜云,男,1987,2024-10-18,,,,D03,L2,0,2025-04-16,active
E00041,韩瑞*,女,1987,2023-07-02,,,,D03,L4,1,2023-09-30,active
E00042,邹敏敏,女,1994,2023-03-27,,,,D01,L5,0,2023-09-23,active
E00043,严萍媛,男,1992,2024-03-31,,,,D01,L4,0,2024-09-27,active
E00044,杨淑华,男,1987,2023-02-10,,,,D01,L6,0,2023-05-11,active
E00045,褚彩*,女,1986,2017-07-20,,,,D01,L3,0,2017-10-18,active
E00046,杨娟燕,男,1993,2020-05-03,,,,D10,L4,0,2020-08-01,active
E00047,姜娟*,男,1992,2017-03-09,2025-05-31,vol,R04,D02,L3,0,2017-09-05,left
E00048,邹艳*,男,1989,2022-04-20,,,,D09,L4,0,2022-07-19,active
E00049,姜菊*,男,2001,2023-11-18,,,,D01,L3,0,2024-02-16,active
E00050,吴芝瑞,女,1989,2023-03-09,,,,D04,L1,0,2023-09-05,active
E00051,张媛洁,男,1987,2022-02-18,,,,D03,L2,0,2022-05-19,active
E00052,王娜*,男,1992,2023-04-08,,,,D07,L1,0,2023-07-07,active
E00053,邹超*,女,1979,2021-02-22,2025-03-06,invol,R07,D12,L2,0,2021-05-23,left
E00054,尤媛*,女,1991,2020-03-01,,,,D02,L4,0,2020-05-30,active
E00055,许勇明,女,1989,2018-07-04,2025-08-09,vol,R02,D01,L3,0,2018-10-02,left
E00056,华彩磊,男,1989,2021-01-28,2025-03-23,invol,R07,D05,L3,0,2021-04-28,left
E00057,严香媛,女,1987,2017-07-28,,,,D02,L1,0,2017-10-26,active
E00058,蒋爱*,男,1987,2020-01-18,,,,D01,L1,0,2020-07-16,active
E00059,王莺环,男,1990,2023-09-29,2025-02-15,invol,R09,D12,L4,0,2023-12-28,left
E00060,韩娜娥,女,1989,2024-10-07,2025-01-03,invol,R06,D04,L4,0,2025-01-05,left
E00061,施雪*,女,1987,2021-10-10,,,,D06,L3,0,2022-01-08,active
E00062,魏艳*,男,1985,2023-04-10,,,,D02,L6,0,2023-07-09,active
E00063,金强*,女,1996,2021-11-07,,,,D04,L1,0,2022-05-06,active
E00064,褚彩雪,男,1993,2022-06-12,2025-02-02,vol,R01,D01,L6,0,2022-09-10,left
E00065,陶媛*,女,1984,2022-04-16,,,,D04,L2,0,2022-07-15,active
E00066,严凤佳,女,1975,2017-10-29,,,,D01,L1,1,2018-04-27,active
E00067,邹云*,女,1995,2019-11-06,,,,D02,L2,0,2020-02-04,active
E00068,陶云*,男,1998,2020-02-16,,,,D06,L5,0,2020-05-16,active
E00069,魏芳雪,男,1986,2022-01-04,,,,D11,L2,0,2022-04-04,active
E00070,邹云瑞,男,1995,2024-10-08,,,,D11,L4,1,2025-04-06,active
E00071,郑霞*,女,1995,2024-10-05,,,,D02,L1,1,2025-04-03,active
E00072,卫巧*,男,1988,2023-05-08,2025-03-16,vol,R03,D05,L2,0,2023-08-06,left
E00073,魏芬慧,女,1985,2020-04-10,2025-05-13,vol,R03,D01,L1,0,2020-07-09,left
E00074,蒋莲娟,女,1981,2017-02-14,2025-08-07,vol,R04,D01,L2,0,2017-08-13,left
E00075,李凡芬,男,1988,2021-04-19,,,,D08,L1,0,2021-10-16,active
E00076,冯杰丽,女,1994,2019-02-12,2025-07-13,vol,R01,D02,L3,0,2019-05-13,left
E00077,张欣*,男,1993,2021-04-08,,,,D01,L1,0,2021-07-07,active
E00078,魏洋*,女,1977,2017-11-30,2025-03-01,vol,R01,D12,L2,0,2018-05-29,left
E00079,魏素红,女,1987,2019-11-19,,,,D05,L4,0,2020-02-17,active
E00080,韩军莺,男,1999,2024-08-17,,,,D11,L3,0,2024-11-15,active
E00081,孔月*,男,1972,2022-09-17,,,,D12,L1,0,2022-12-16,active
E00082,姜雪玲,女,1986,2021-07-31,2025-12-06,invol,R08,D01,L1,0,2021-10-29,left
E00083,曹玲*,女,1984,2022-06-04,,,,D01,L3,0,2022-09-02,active
E00084,杨超惠,女,1986,2022-05-03,,,,D01,L3,0,2022-10-30,active
E00085,陈超*,女,1992,2024-02-08,,,,D08,L4,1,2024-05-08,active
E00086,卫红*,男,1977,2018-06-14,,,,D07,L4,0,2018-09-12,active
E00087,谢燕*,男,1986,2022-02-22,,,,D03,L6,1,2022-08-21,active
E00088,吴菊军,男,1987,2022-02-13,2025-07-20,vol,R04,D01,L1,0,2022-05-14,left
E00089,王珠*,男,1995,2021-03-14,2025-05-25,invol,R07,D11,L3,0,2021-09-10,left
E00090,张华媛,男,1990,2018-11-03,2025-12-19,vol,R02,D01,L1,0,2019-02-01,left
E00091,王雪*,女,1996,2024-09-15,,,,D06,L1,0,2024-12-14,active
E00092,沈华翠,女,1985,2018-06-11,,,,D10,L3,0,2018-09-09,active
E00093,喻敏娥,女,1999,2021-06-24,2025-08-11,vol,R01,D01,L5,1,2021-12-21,left
E00094,周英敏,男,1993,2019-07-05,,,,D01,L1,0,2019-10-03,active
E00095,李华*,男,1998,2022-12-07,,,,D05,L4,0,2023-03-07,active
E00096,施妹*,女,1983,2020-06-23,,,,D06,L3,0,2020-09-21,active
E00097,冯萍*,男,1997,2021-09-20,,,,D01,L1,0,2021-12-19,active
E00098,施洋*,男,1987,2022-07-15,,,,D07,L4,0,2023-01-11,active
E00099,何巧月,女,2002,2024-10-02,,,,D09,L2,0,2024-12-31,active
E00100,许凤*,男,1998,2024-09-23,,,,D08,L3,1,2024-12-22,active
E00101,杨娟*,男,1985,2020-09-28,,,,D01,L4,0,2021-03-27,active
E00102,金菊春,女,1993,2020-07-25,,,,D01,L3,1,2020-10-23,active
E00103,张芬*,女,1996,2022-06-06,,,,D11,L1,0,2022-09-04,active
E00104,孙香静,男,1993,2020-11-29,,,,D02,L3,0,2021-02-27,active
E00105,孙玉霞,男,1989,2024-06-08,,,,D04,L7,0,2024-09-06,active
E00106,吕军*,男,1995,2017-11-17,,,,D04,L2,0,2018-05-16,active
E00107,曹超勇,女,1996,2023-10-17,2025-10-28,vol,R02,D02,L1,0,2024-04-14,left
E00108,谢艳爱,女,1982,2019-03-25,,,,D03,L5,1,2019-06-23,active
E00109,郑佳欣,男,1992,2023-06-12,,,,D01,L7,1,2023-09-10,active
E00110,褚霞*,女,1992,2019-06-27,,,,D02,L1,0,2019-09-25,active
E00111,陶静*,男,1987,2017-04-18,,,,D12,L3,0,2017-10-15,active
E00112,蒋秀强,女,1998,2022-04-09,,,,D05,L3,0,2022-07-08,active
E00113,戚英艳,女,1994,2021-06-29,,,,D12,L1,0,2021-09-27,active
E00114,孔勇*,女,1992,2022-05-08,2025-02-04,vol,R02,D01,L2,0,2022-08-06,left
E00115,陶香勇,男,1986,2018-09-11,,,,D01,L5,1,2019-03-10,active
E00116,李芝*,女,1992,2024-05-23,,,,D08,L1,0,2024-08-21,active
E00117,施芝娜,女,1986,2024-08-05,,,,D06,L1,0,2024-11-03,active
E00118,钱莲丽,女,1986,2017-04-15,,,,D05,L3,0,2017-07-14,active
E00119,吕秀*,男,1988,2023-11-01,2025-08-05,vol,R01,D04,L3,0,2024-01-30,left
E00120,魏静*,女,1992,2024-04-08,,,,D01,L2,0,2024-07-07,active
E00121,施强兰,男,1986,2024-11-19,2025-12-06,invol,R07,D01,L1,0,2025-02-17,left
E00122,姜凡*,女,1992,2022-06-18,2025-01-26,invol,R06,D08,L5,1,2022-12-15,left
E00123,尤彩*,男,2002,2024-09-22,,,,D06,L3,0,2024-12-21,active
E00124,秦磊*,男,1998,2022-05-27,,,,D05,L5,0,2022-11-23,active
E00125,张琳*,男,1998,2020-05-08,,,,D04,L1,0,2020-11-04,active
E00126,曹春玉,男,1996,2020-04-28,,,,D12,L4,1,2020-07-27,active
E00127,尤瑞*,男,1998,2024-03-14,2025-02-02,invol,R06,D01,L1,1,2024-09-10,left
E00128,施军*,未披露,1995,2024-04-13,2025-04-02,vol,R01,D03,L4,1,2024-10-10,left
E00129,姜敏*,男,1996,2024-05-07,,,,D04,L7,0,2024-08-05,active
E00130,严雪洋,男,1990,2024-07-16,,,,D01,L2,0,2024-10-14,active
E00131,冯妹*,女,2000,2024-10-03,,,,D11,L4,0,2025-01-01,active
E00132,尤勇*,男,1982,2023-06-25,,,,D05,L4,0,2023-12-22,active
E00133,吕丽敏,男,1998,2023-06-16,,,,D01,L3,0,2023-09-14,active
E00134,姜芳燕,女,1995,2019-06-06,,,,D03,L4,0,2019-09-04,active
E00135,何洁超,女,1989,2023-07-15,,,,D07,L2,0,2023-10-13,active
E00136,尤莲荣,男,1988,2024-08-21,2025-04-29,invol,R08,D01,L1,0,2024-11-19,left
E00137,许凡*,女,1994,2024-05-13,2025-12-24,invol,R09,D12,L1,0,2024-08-11,left
E00138,陶芬*,女,1990,2017-05-13,,,,D10,L1,0,2017-08-11,active
E00139,周莲*,女,1992,2018-04-06,2025-03-31,invol,R06,D07,L3,0,2018-07-05,left
E00140,吕琳淑,男,1982,2017-01-29,,,,D05,L6,1,2017-07-28,active
E00141,何慧*,女,1997,2024-11-21,,,,D05,L5,0,2025-05-20,active
E00142,张兰荣,女,1991,2021-11-13,,,,D05,L4,0,2022-05-12,active
E00143,李艳*,女,1990,2020-04-08,,,,D05,L6,0,2020-07-07,active
